eposide 0:-0.7226, test time:120.69454408599995
eposide 1:-1.2204000000000002, test time:141.34964252100326
eposide 2:2.2238, test time:215.99511934886687
eposide 3:0.030800000000000004, test time:202.49040780588984
eposide 4:3.6843999999999997, test time:209.04155577206984
eposide 5:2.2371, test time:215.1069915809203
eposide 6:2.1950000000000003, test time:219.3674129329156
eposide 7:0.962, test time:216.40295083704405
eposide 8:0.3008, test time:228.12323690904304
eposide 9:-0.2593, test time:228.45858350396156
eposide 10:-0.8014, test time:245.28922984213568
last eposide:-0.81764,test time:1139.6556890739594
