eposide 0:5.94874, test time:586.7484061029973
eposide 0:4.71368, test time:688.8743398939259
eposide 1:3.2382600000000004, test time:601.7787479800172
eposide 2:2.8045599999999995, test time:623.9079841469647
eposide 3:1.85592, test time:608.0504945600405
eposide 4:2.1433999999999997, test time:607.4696858560201
eposide 5:6.46902, test time:689.3425607529934
eposide 6:5.38128, test time:744.2030322940554
eposide 7:5.4793199999999995, test time:751.8546905840049
eposide 8:3.3928200000000004, test time:793.6364367050119
eposide 9:3.29974, test time:801.4460612630937
last eposide:3.5209599999999996,test time:818.8018939570757
