eposide 0:1,1 test time:9.131617844104767e-07
eposide 1:2.3428,1.6608 test time:231.32661200710572
eposide 2:2.2512000000000003,1.57805 test time:237.4132376210764
eposide 3:2.03145,1.5215 test time:240.25851224712096
eposide 4:2.2482500000000005,1.43125 test time:237.040705045918
eposide 5:2.149,1.46895 test time:236.2838165909052
eposide 6:-0.07955000000000001,1.5327499999999998 test time:233.35654170019552
eposide 7:-0.042800000000000005,1.5195500000000002 test time:233.8178415778093
eposide 8:2.2179,1.5777999999999999 test time:238.4940477949567
eposide 9:-0.14295000000000002,1.59985 test time:233.38026849296875
eposide 10:-0.07500000000000001,1.5734 test time:232.12216661707498
